               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091139,            0.053963,            0.057698,             0.37745,             0.11168,            0.059548,            0.024736,            0.072272,            0.040289,            0.045749,            0.070062,           0.0033264,           0.0033264
                   1,            0.065074,            0.042993,            0.042611,             0.47064,             0.21927,              0.1565,            0.064312,            0.065518,            0.034116,            0.031674,            0.038744,           0.0053411,           0.0053411
                   2,            0.058127,            0.039435,            0.034826,             0.53176,             0.27933,             0.22111,             0.10009,            0.059919,             0.03175,             0.02615,            0.006105,           0.0060358,           0.0060358
                   3,            0.051893,            0.037476,            0.029315,             0.64189,             0.28718,             0.30309,             0.15261,            0.054548,            0.030817,            0.021428,             0.00406,             0.00406,             0.00406
                   4,            0.049372,            0.036442,            0.025055,             0.64442,             0.33084,             0.34399,              0.1787,            0.052882,            0.029892,            0.019122,             0.00406,             0.00406,             0.00406
