               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086596,            0.050325,            0.060604,              0.6977,             0.08674,            0.068049,            0.028687,            0.071882,            0.036546,            0.044541,            0.070124,           0.0033196,           0.0033196
                   1,            0.065819,             0.04286,            0.041062,             0.69703,             0.16167,             0.14066,            0.058446,            0.066962,            0.032098,            0.030509,            0.038807,           0.0053356,           0.0053356
                   2,            0.061176,            0.039479,            0.032054,             0.73702,             0.17267,             0.18695,            0.079654,            0.059646,            0.032021,            0.025464,           0.0061694,           0.0060317,           0.0060317
                   3,            0.054609,            0.039438,            0.027738,             0.75916,             0.19974,             0.21988,             0.11039,            0.053687,            0.031769,            0.023219,             0.00406,             0.00406,             0.00406
                   4,            0.052582,            0.038374,            0.025833,             0.75429,             0.21111,             0.23207,             0.11574,            0.052977,            0.030552,            0.020934,             0.00406,             0.00406,             0.00406
