               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095238,            0.031843,            0.027276,             0.11508,             0.19622,            0.083257,             0.02932,            0.080611,            0.024495,            0.015797,             0.07033,           0.0032967,           0.0032967
                   1,            0.073654,            0.025618,            0.011919,             0.26462,             0.29823,             0.19707,            0.063638,            0.071211,            0.018953,           0.0091095,            0.039673,           0.0059737,           0.0059737
                   2,            0.068959,             0.02245,           0.0083467,             0.38393,             0.35239,             0.29413,             0.10451,             0.06546,            0.018238,           0.0070164,           0.0083569,           0.0079906,           0.0079906
                   3,            0.062101,            0.021854,           0.0069055,             0.40593,             0.42257,             0.38163,             0.14196,            0.061871,            0.017366,           0.0063691,             0.00703,             0.00703,             0.00703
                   4,            0.058807,            0.020709,           0.0061005,             0.51831,             0.43108,             0.43649,             0.17338,            0.058446,            0.018153,           0.0071262,             0.00703,             0.00703,             0.00703
                   5,            0.055444,            0.020279,           0.0057365,             0.52193,             0.46194,              0.4661,             0.19356,            0.057056,             0.01751,           0.0055806,             0.00604,             0.00604,             0.00604
                   6,            0.053205,            0.019711,            0.004891,             0.56845,             0.50132,             0.49644,             0.20825,            0.054282,            0.016882,           0.0051134,             0.00505,             0.00505,             0.00505
                   7,             0.05134,            0.019134,           0.0046386,             0.56062,             0.50622,             0.49307,             0.21031,            0.053706,            0.016693,            0.005809,             0.00406,             0.00406,             0.00406
                   8,            0.048549,            0.018731,           0.0042114,             0.55837,             0.51479,             0.51971,             0.21947,            0.053576,            0.016346,           0.0050578,             0.00307,             0.00307,             0.00307
                   9,            0.046972,            0.018554,           0.0039277,             0.62242,             0.52516,             0.53876,             0.23622,            0.051739,            0.015712,           0.0045115,             0.00208,             0.00208,             0.00208
